xactid;op
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;13
0000144F0004;4
0000144F0004;7
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;4
0000144F0004;7
0000144F0004;30
0000146A0002;0
0000146A0002;65
0000146A0002;65
0000146A0002;30
0000146A0006;0
0000146A0006;65
0000146A0006;65
0000146A0006;65
0000146A0006;30
0000146A000B;0
0000146A000B;65
0000146A000B;30
0000146A000E;0
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;8
0000146A000E;21
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;5
0000146A000E;5
0000146A000E;5
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
0000146A000E;12
